ts,query,baseline_stability,baseline_conf,tuned_stability,tuned_conf,threshold_type,threshold_used,delta_stability,delta_conf,temp,top_terms
2026-02-07T21:15:58.737866+00:00,1. who is daphne casuco,0.6890,0.3311,0.7170,0.4397,structured,0.35,0.0280,0.1086,0.2051,"miranda,daphne,role,name,who,rep,gate,casuco"
2026-02-07T21:15:58.756246+00:00,2. who are the tunnel 5 representatives,0.6375,0.3371,0.6592,0.3722,normal,0.45,0.0218,0.0351,0.2051,"role,tunnel,name,who,rep,east,gate,are"
2026-02-07T21:15:58.778074+00:00,3. who is the tower supervisor,0.6328,0.3936,0.6428,0.4512,normal,0.45,0.0100,0.0576,0.2051,"supervisor,adeline,tower,laughton,coliseum,black,who,the"
2026-02-07T21:15:58.799362+00:00,4. find jasmine,0.6171,0.2407,0.6360,0.2648,structured,0.35,0.0189,0.0241,0.2051,"gierman,role,find,name,rep,jasmine,gate"
2026-02-07T21:15:58.816943+00:00,5. who works at gate 19,0.7002,0.4376,0.6965,0.4426,normal,0.45,-0.0037,0.0050,0.2051,"role,groups,name,who,works,rep,will,gate"
2026-02-07T21:15:58.834639+00:00,6. what is the game day hotline,0.6046,0.3552,0.7092,0.4779,normal,0.45,0.1047,0.1228,0.2051,"hotline,hotlinetext,game,430,1230,what,lawn,day"
2026-02-07T21:15:58.852102+00:00,7. what should i wear for tower service,0.5511,0.3281,0.5906,0.3782,normal,0.45,0.0395,0.0501,0.2051,"gold,for,tower,coliseum,black,service,credential,should"
2026-02-07T21:15:58.869672+00:00,8. ada representatives,0.6561,0.4148,0.6679,0.4272,normal,0.45,0.0118,0.0124,0.2051,"role,name,rep,service,sec,ada,representatives"
2026-02-07T21:15:58.886815+00:00,9. collin,0.7014,0.3055,0.7011,0.3088,structured,0.35,-0.0002,0.0033,0.2051,"rep,role,gate,collin,turner,name"
2026-02-07T21:15:58.905262+00:00,10. how do i subscribe to text alerts,0.5176,0.2160,0.6154,0.3795,normal,0.45,0.0978,0.1635,0.2051,"ada,hotlinetext,how,alerts,subscribe,game,213,10."
2026-02-07T21:15:58.923401+00:00,11. north supervisor location,0.6900,0.3833,0.7026,0.4203,normal,0.45,0.0126,0.0371,0.2051,"supervisor,role,name,summer,little,north,location,11."
2026-02-07T21:15:58.945641+00:00,12. tunnel reps,0.6662,0.3566,0.6855,0.3810,structured,0.35,0.0193,0.0244,0.2051,"role,12.,tunnel,west,name,rep,reps,east"
2026-02-07T21:15:58.964083+00:00,13. guest service representative,0.6161,0.4007,0.6137,0.4147,normal,0.45,-0.0024,0.0140,0.2051,"representative,ticket,guest,direct,tickets,service,13.,duplicate"
2026-02-07T21:15:58.981838+00:00,14. who is the president,0.6526,0.2229,0.6573,0.2258,structured,0.35,0.0046,0.0029,0.2051,"role,capt,president,rocio,name,who,rep,14."
