ts,query,baseline_stability,baseline_conf,tuned_stability,tuned_conf,boosted_conf,did_boost,delta_stability,delta_conf,temp,top_terms
2026-02-07T21:15:00.092253+00:00,1. who is daphne casuco,0.6890,0.3311,0.7170,0.4397,0.5497,True,0.0280,0.2186,0.2051,"gate,miranda,rep,role,casuco,name,who,daphne"
2026-02-07T21:15:00.115105+00:00,2. who are the tunnel 5 representatives,0.6375,0.3371,0.6592,0.3722,0.4652,True,0.0218,0.1282,0.2051,"gate,representatives,rep,east,role,are,tunnel,name"
2026-02-07T21:15:00.138454+00:00,3. who is the tower supervisor,0.6328,0.3936,0.6428,0.4512,0.5640,True,0.0100,0.1704,0.2051,"who,black,coliseum,tower,the,adeline,supervisor,laughton"
2026-02-07T21:15:00.159187+00:00,4. find jasmine,0.6171,0.2407,0.6360,0.2648,0.3310,True,0.0189,0.0903,0.2051,"jasmine,gate,gierman,find,rep,role,name"
2026-02-07T21:15:00.176705+00:00,5. who works at gate 19,0.7002,0.4376,0.6965,0.4426,0.5533,True,-0.0037,0.1157,0.2051,"gate,groups,will,works,rep,role,name,who"
2026-02-07T21:15:00.196501+00:00,6. what is the game day hotline,0.6046,0.3552,0.7092,0.4779,0.5974,True,0.1047,0.2423,0.2051,"430,day,hotlinetext,lawn,hotline,game,1230,the"
2026-02-07T21:15:00.216128+00:00,7. what should i wear for tower service,0.5511,0.3281,0.5906,0.3782,0.4728,True,0.0395,0.1446,0.2051,"wear,for,service,gold,black,coliseum,should,provide"
2026-02-07T21:15:00.256550+00:00,8. ada representatives,0.6561,0.4148,0.6679,0.4272,0.5340,True,0.0118,0.1192,0.2051,"representatives,service,ada,rep,role,sec,name"
2026-02-07T21:15:00.291851+00:00,9. collin,0.7014,0.3055,0.7011,0.3088,0.3860,True,-0.0002,0.0805,0.2051,"turner,gate,role,name,collin,rep"
2026-02-07T21:15:00.318271+00:00,10. how do i subscribe to text alerts,0.5176,0.2160,0.6154,0.3795,0.4743,True,0.0978,0.2584,0.2051,"213,2634007,day,hotlinetext,ada,game,text,alerts"
2026-02-07T21:15:00.337983+00:00,11. north supervisor location,0.6900,0.3833,0.7026,0.4203,0.5254,True,0.0126,0.1421,0.2051,"little,summer,role,11.,north,name,supervisor,location"
2026-02-07T21:15:00.357143+00:00,12. tunnel reps,0.6662,0.3566,0.6855,0.3810,0.4763,True,0.0193,0.1197,0.2051,"12.,rep,reps,east,role,tunnel,name,west"
2026-02-07T21:15:00.376017+00:00,13. guest service representative,0.6161,0.4007,0.6137,0.4147,0.5184,True,-0.0024,0.1177,0.2051,"representative,gate,guest,duplicate,service,tickets,direct,13."
2026-02-07T21:15:00.397370+00:00,14. who is the president,0.6526,0.2229,0.6573,0.2258,0.2258,False,0.0046,0.0029,0.2051,"gate,14.,president,capt,rep,role,name,the"
2026-02-07T21:15:00.416950+00:00,15. who manages the tower,0.5943,0.3215,0.5981,0.3706,0.4632,True,0.0038,0.1417,0.2051,"service,black,coliseum,casuco,manages,tower,the,15."
2026-02-07T21:18:18.644810+00:00,1. who is daphne casuco,0.6890,0.3311,0.7170,0.4397,0.5497,True,0.0280,0.2186,0.2051,"daphne,gate,role,miranda,who,casuco,rep,name"
2026-02-07T21:18:18.671551+00:00,2. who are the tunnel 5 representatives,0.6375,0.3371,0.6592,0.3722,0.4652,True,0.0218,0.1282,0.2051,"east,gate,role,the,who,tunnel,rep,are"
2026-02-07T21:18:18.705146+00:00,3. who is the tower supervisor,0.6328,0.3936,0.6428,0.4512,0.5640,True,0.0100,0.1704,0.2051,"black,laughton,coliseum,adeline,the,tower,who,supervisor"
2026-02-07T21:18:18.739586+00:00,4. find jasmine,0.6171,0.2407,0.6360,0.2648,0.3310,True,0.0189,0.0903,0.2051,"gate,find,role,gierman,jasmine,rep,name"
